bookid,title,author,publisher,editon,cost,category
1001,America in Japan,Anurag ,Agarwal Books,2020,1000,Political
1002,Funda Physics,sharma JI,Agarwal Books,2021,2000,physics
1003,Exceptions In Chemistry,Anurag ,Dps Books,2019,2000,Chemistry
1004,Calculus By As,Anirudh,Saffron Publisher,2020,3000,Maths
1005,Simple Maths,Bhumika,Saffron Publisher,2021,500,Maths
1006,Simple Chemistry,Bhumika,DPS Books,2018,5000,Chemistry
1007,Easy biology,Ashwariya,DPS Books,2019,233,Biology
1008,Botony MTG,Ashwariya,DPS Books,2016,342,Biology
1009,Somewhere In Cloud,mahek,DPS Books,2018,452,Fictional
1010,India vs China,Anurag,DPS Books,2078,234,Political
1011, China invasion of Tibet,Sailesh,DPS Books,2011,543,Political
1012,Misguided Farmers,Kaushal,DPS Books,2013,653,Political
1013,Economy Crash EU,nishant,DPS Books,2019,456,Political
1014,Impertial Government,Anurag Sharma,DPS Books,2020,345,Political
1015,Information Technology, Narender maam,DPS Books,2016,234,Computer
1016,Information Practices,Narender Maam,DPS Books,2015,344,Computer
1017,Drawings smi,Aditiya,DPS Books,2019,531,Fine arts
1018,fine Arts,Aditiya,DPS Books,2020,635,Fine arts
1019,Unnatural World,C S laxman,DPS Books,2021,536,Computer
1020,Lets Skip ,Avnish,DPS Books,2021,364,Zoology
